station_number,station_name,total_departures,active_days,weekday_departures,weekend_departures,morning_peak_departures,evening_peak_departures,avg_departure_duration_ms,avg_daily_departures,weekend_departure_share,morning_peak_departure_share,evening_peak_departure_share,total_arrivals,active_days_arr,avg_daily_arrivals,net_flow,imbalance_ratio,cluster,recommended_action,pca1,pca2
983.0,"Euston Road, Euston",626.0,31.0,461.0,165.0,121.0,177.0,2350495.766773163,20.193548387096776,0.26357827476038337,0.19329073482428116,0.2827476038338658,622,31,20.06451612903226,-4.0,0.0032025620496397116,2,Standard commuter-period rebalancing,-0.5107609050036924,-0.7500469355934033
984.0,"Finsbury Circus, Liverpool Street",1870.0,31.0,1647.0,223.0,396.0,736.0,1085596.7657754011,60.32258064516129,0.11925133689839572,0.21176470588235294,0.39358288770053473,2282,31,73.61290322580645,412.0,0.09920539369130749,4,Prioritise evening dock relief and destination-side balancing,2.353190207627926,-1.3799236436298048
985.0,"Hatton Garden, Holborn",1260.0,30.0,1035.0,225.0,143.0,477.0,950435.219047619,42.0,0.17857142857142858,0.11349206349206349,0.37857142857142856,1197,31,38.61290322580645,-63.0,0.02563059397884459,4,Prioritise evening dock relief and destination-side balancing,1.3917811333216195,-1.7702529398971474
986.0,"Finsbury Library , Finsbury",485.0,30.0,367.0,118.0,87.0,114.0,1398784.925773196,16.166666666666668,0.24329896907216494,0.17938144329896907,0.23505154639175257,399,30,13.3,-86.0,0.09717514124293786,2,Standard commuter-period rebalancing,-1.0651701872072592,-1.3136848308841351
988.0,"Great Russell Street, Bloomsbury",1247.0,31.0,838.0,409.0,70.0,395.0,3349563.8973536487,40.225806451612904,0.3279871692060946,0.056134723336006415,0.31676022453889335,1268,30,42.266666666666666,21.0,0.008346581875993641,4,Prioritise evening dock relief and destination-side balancing,1.3317292787476536,-0.355606089045643
989.0,"Murray Grove , Hoxton",814.0,30.0,576.0,238.0,247.0,137.0,1492787.957002457,27.133333333333333,0.29238329238329236,0.3034398034398034,0.1683046683046683,716,30,23.866666666666667,-98.0,0.06401045068582625,2,Standard commuter-period rebalancing,-1.427747898428658,0.40851086895959027
990.0,"Cotton Garden Estate, Kennington",679.0,30.0,494.0,185.0,206.0,123.0,1029178.176730486,22.633333333333333,0.27245949926362295,0.30338733431516934,0.18114874815905743,613,30,20.433333333333334,-66.0,0.05104408352668213,2,Standard commuter-period rebalancing,-1.542366266598993,0.0999130748325045
991.0,"Crosswall, Tower",1949.0,30.0,1616.0,333.0,411.0,629.0,2112641.347357619,64.96666666666667,0.17085684966649564,0.21087737301180093,0.3227296049256029,2150,30,71.66666666666667,201.0,0.04902439024390244,1,High-priority core station for monitoring and capacity review,2.097838057716678,-0.27129918283088317
992.0,"St. John Street, Finsbury",529.0,30.0,393.0,136.0,128.0,115.0,1001465.3553875237,17.633333333333333,0.2570888468809074,0.24196597353497165,0.21739130434782608,509,30,16.966666666666665,-20.0,0.019249278152069296,2,Standard commuter-period rebalancing,-1.2444998674781238,-0.4576653060606147
993.0,"Drummond Street , Euston",613.0,30.0,499.0,114.0,227.0,102.0,2071078.7553017945,20.433333333333334,0.1859706362153344,0.3703099510603589,0.16639477977161501,507,30,16.9,-106.0,0.09455842997323818,2,Standard commuter-period rebalancing,-2.0287368395148833,-0.3653170070248298
